0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 2289
33, 2383
34, 2366
35, 2350
36, 2349
37, 2429
38, 2398
39, 2364
40, 2342
41, 2304
42, 2245
43, 2200
44, 2123
45, 2036
46, 1983
47, 1889
48, 1789
49, 1704
50, 1621
51, 1511
52, 1431
53, 356
54, 245
55, 136
56, 43
57, -68
58, -185
59, -288
60, -380
61, -495
62, -594
63, -679
64, 393
65, 192
66, -36
67, -108
68, -194
69, -173
70, -232
71, -275
72, -334
73, -401
74, -440
75, -482
76, -510
77, -544
78, -584
79, -614
80, -621
81, -620
82, -604
83, -610
84, -604
85, -1560
86, -1518
87, -1486
88, -1437
89, -1381
90, -1345
91, -1293
92, -1243
93, -1161
94, -1093
95, -1034
96, -2534
97, -2465
98, -2312
99, -2177
100, -2083
101, -1892
102, -1814
103, -1710
104, -1619
105, -1535
106, -1442
107, -1350
108, -1262
109, -1180
110, -1066
111, -953
112, -854
113, -778
114, -697
115, -615
116, -530
117, -1437
118, -1345
119, -1279
120, -1206
121, -1153
122, -1105
123, -1064
124, -1022
125, -984
126, -974
127, -948
128, 1680
129, 1753
130, 1894
131, 2035
132, 2128
133, 2214
134, 2201
135, 2168
136, 2142
137, 2083
138, 2041
139, 2002
140, 1925
141, 1850
142, 1766
143, 1704
144, 1612
145, 1517
146, 1427
147, 1344
148, 1273
149, 192
150, 117
151, 37
152, -51
153, -161
154, -266
155, -353
156, -438
157, -522
158, -608
159, -720
160, 1122
161, 996
162, 790
163, 537
164, 272
165, 109
166, 17
167, -31
168, -97
169, -143
170, -179
171, -238
172, -281
173, -311
174, -350
175, -371
176, -386
177, -399
178, -416
179, -400
180, -400
181, -1390
182, -1379
183, -1369
184, -1359
185, -1341
186, -1318
187, -1256
188, -1205
189, -1161
190, -1118
191, -1055
192, -2646
193, -2664
194, -2578
195, -2466
196, -2373
197, -2122
198, -1983
199, -1885
200, -1786
201, -1695
202, -1590
203, -1477
204, -1388
205, -1275
206, -1195
207, -1089
208, -1012
209, -913
210, -813
211, -716
212, -614
213, -1499
214, -1406
215, -1327
216, -1253
217, -1197
218, -1152
219, -1086
220, -1043
221, -998
222, -979
223, -935
224, 1098
225, 1255
226, 1406
227, 1531
228, 1669
229, 1890
230, 1993
231, 2075
232, 2057
233, 2036
234, 1987
235, 1945
236, 1910
237, 1858
238, 1786
239, 1721
240, 1644
241, 1587
242, 1489
243, 1421
244, 1327
245, 260
246, 170
247, 63
248, -22
249, -106
250, -205
251, -314
252, -397
253, -482
254, -599
255, -709
256, 1675
257, 1507
258, 1271
259, 1048
260, 832
261, 679
262, 429
263, 203
264, -6
265, -67
266, -115
267, -152
268, -205
269, -234
270, -280
271, -319
272, -329
273, -341
274, -366
275, -372
276, -387
277, -1372
278, -1345
279, -1348
280, -1328
281, -1291
282, -1257
283, -1225
284, -1168
285, -1124
286, -1080
287, -1024
288, -2484
289, -2542
290, -2495
291, -2453
292, -2399
293, -2227
294, -2118
295, -2002
296, -1869
297, -1744
298, -1663
299, -1570
300, -1478
301, -1398
302, -1308
303, -1203
304, -1116
305, -1023
306, -914
307, -833
308, -726
309, -1624
310, -1529
311, -1443
312, -1363
313, -1287
314, -1221
315, -1140
316, -1069
317, -1018
318, -992
319, -956
320, 398
321, 558
322, 751
323, 943
324, 1107
325, 1383
326, 1521
327, 1646
328, 1764
329, 1888
330, 1982
331, 1932
332, 1892
333, 1860
334, 1787
335, 1733
336, 1664
337, 1585
338, 1514
339, 1452
340, 1389
341, 310
342, 226
343, 123
344, 24
345, -70
346, -185
347, -269
348, -368
349, -466
350, -585
351, -679
352, 2243
353, 2115
354, 1909
355, 1687
356, 1423
357, 1306
358, 1078
359, 867
360, 612
361, 380
362, 137
363, -92
364, -145
365, -203
366, -253
367, -279
368, -298
369, -335
370, -361
371, -368
372, -381
373, -1366
374, -1376
375, -1354
376, -1352
377, -1331
378, -1286
379, -1244
380, -1205
381, -1173
382, -1115
383, -1049
384, -2227
